Date,HDFCBANK.NS,^NSEBANK
2019-09-30,563.4274291992188,27731.52734375
2019-10-07,567.7371826171875,28042.173828125
2019-10-14,582.0394287109375,29119.912109375
2019-10-21,586.1596069335938,29395.607421875
2019-10-28,587.2725830078125,30330.19921875
2019-11-04,594.6369018554688,30749.04296875
2019-11-11,605.1978759765625,31008.0390625
2019-11-18,598.9701538085938,31111.23828125
2019-11-25,603.80078125,31945.728515625
2019-12-02,590.1141357421875,31341.185546875
2019-12-09,598.5439453125,32013.876953125
2019-12-16,614.1012573242188,32384.572265625
2019-12-23,603.8244018554688,32411.97265625
2019-12-30,600.6988525390625,32068.876953125
2020-01-06,607.4710693359375,32097.02734375
2020-01-13,605.3162841796875,31590.283203125
2020-01-20,589.4037475585938,31241.38671875
2020-01-27,567.6897583007812,30833.2421875
2020-02-03,588.290771484375,31201.5859375
2020-02-10,577.4692993164062,30834.443359375
2020-02-17,576.4036865234375,30942.490234375
2020-02-24,557.7207641601562,29146.8125
2020-03-02,537.474853515625,27801.126953125
2020-03-09,506.6441955566406,25166.15625
2020-03-16,418.1070251464844,20317.36328125
2020-03-23,428.3365173339844,19968.767578125
2020-03-30,385.429443359375,17249.099609375
2020-04-06,438.0924377441406,19913.3671875
2020-04-13,431.10699462890625,20681.208984375
2020-04-20,444.2490539550781,19586.421875
2020-04-27,474.4402770996094,21534.25
2020-05-04,439.98675537109375,19352.67578125
2020-05-11,420.6170349121094,18833.73046875
2020-05-18,397.26910400390625,17278.69921875
2020-05-25,450.6898498535156,19297.025390625
2020-06-01,489.3819580078125,21034.255859375
2020-06-08,465.4184265136719,20654.310546875
2020-06-15,489.3819580078125,21337.8515625
2020-06-22,500.3218688964844,21591.80078125
2020-06-29,508.6095886230469,21852.146484375
2020-07-06,523.3618774414062,22398.189453125
2020-07-13,520.2125244140625,21966.544921875
2020-07-20,529.9921264648438,22661.787109375
2020-07-27,489.1215515136719,21639.798828125
2020-08-03,494.3546142578125,21753.748046875
2020-08-10,489.9028625488281,21679.1484375
2020-08-17,514.150634765625,22299.33984375
2020-08-24,527.8135986328125,24523.515625
2020-08-31,530.0868530273438,23011.232421875
2020-09-07,510.83544921875,22479.6875
2020-09-14,500.7244567871094,22030.794921875
2020-09-21,494.42572021484375,20982.10546875
2020-09-28,524.2379760742188,22245.7421875
2020-10-05,584.1942749023438,23846.5234375
2020-10-12,567.99755859375,23532.9765625
2020-10-19,585.2598876953125,24478.015625
2020-10-26,560.5149536132812,23900.623046875
2020-11-02,619.287109375,26798.638671875
2020-11-09,648.6732177734375,28465.369140625
2020-11-16,664.7515258789062,29235.66015625
2020-11-23,682.368896484375,29608.70703125
2020-11-30,656.2031860351562,30052.05078125
2020-12-07,654.8772583007812,30604.494140625
2020-12-14,668.3981323242188,30714.29296875
2020-12-21,661.6495361328125,30401.845703125
2020-12-28,674.8863525390625,31263.6875
2021-01-04,678.0120849609375,32083.826171875
2021-01-11,694.5875854492188,32246.42578125
2021-01-18,683.6477661132812,31166.888671875
2021-01-25,658.5238647460938,30565.14453125
2021-02-01,756.6039428710938,35654.0859375
2021-02-08,749.1922607421875,36108.48046875
2021-02-15,728.8989868164062,35841.18359375
2021-02-22,726.673095703125,34803.1953125
2021-03-01,724.5894165039062,35227.73828125
2021-03-08,734.9845581054688,35496.234375
2021-03-15,709.1978149414062,34161.203125
2021-03-22,706.261474609375,33317.8125
2021-03-29,704.106689453125,33857.60546875
2021-04-05,673.3234252929688,32447.673828125
2021-04-12,676.5912475585938,31977.078125
2021-04-19,669.7241821289062,31721.931640625
2021-04-26,668.8480834960938,32781.41796875
2021-05-03,670.00830078125,32904.1171875
2021-05-10,656.7952880859375,32169.177734375
2021-05-17,709.10302734375,34606.49609375
2021-05-24,712.0155639648438,35141.0390625
2021-05-31,710.8316650390625,35291.23828125
2021-06-07,703.9172973632812,35046.9921875
2021-06-14,700.8153076171875,34557.59765625
2021-06-21,717.5328979492188,35364.23828125
2021-06-28,701.0994262695312,34809.4921875
2021-07-05,714.4075317382812,35071.54296875
2021-07-12,724.0867919921875,35751.38671875
2021-07-19,686.2260131835938,35033.9921875
2021-07-26,678.4730834960938,34583.94921875
2021-08-02,709.9603271484375,35808.83203125
2021-08-09,725.9179077148438,36168.9296875
2021-08-16,720.471923828125,35033.4453125
2021-08-23,736.5009155273438,35627.38671875
2021-08-30,749.6285400390625,36760.72265625
2021-09-06,746.0849609375,36682.7734375
2021-09-13,752.5298461914062,37811.5078125
2021-09-20,761.7572631835938,37829.859375
2021-09-27,752.7914428710938,37225.46484375
2021-10-04,762.280517578125,37774.8125
2021-10-11,802.5907592773438,39340.44140625
2021-10-18,799.427734375,40323.1796875
2021-10-25,752.8628540039062,39115.1484375
2021-11-01,758.142333984375,39573.23828125
2021-11-08,738.6650390625,38732.90234375
2021-11-15,732.1964111328125,37975.80859375
2021-11-22,708.6522827148438,36025.08203125
2021-11-29,719.9012451171875,36196.7265625
2021-12-06,724.181884765625,37105.21875
2021-12-13,700.6378173828125,35618.234375
2021-12-20,684.3948364257812,34856.64453125
2021-12-27,703.6581420898438,35481.28515625
2022-01-03,737.4998168945312,37739.1640625
2022-01-10,734.9313354492188,38369.953125
2022-01-17,723.72998046875,37573.86328125
2022-01-24,695.9765625,37688.9609375
2022-01-31,724.87158203125,38788.90234375
2022-02-07,722.4220581054688,38516.80078125
2022-02-14,719.3303833007812,37598.7109375
2022-02-21,692.5757446289062,36430.328125
2022-02-28,649.9586181640625,34407.40234375
2022-03-07,664.3704833984375,34545.84765625
2022-03-14,703.9673461914062,36428.12890625
2022-03-21,680.5897216796875,35409.69140625
2022-03-28,716.3101196289062,37148.06640625
2022-04-04,720.4243774414062,37751.61328125
2022-04-11,696.78515625,37462.96484375
2022-04-18,644.7742309570312,36044.33203125
2022-04-25,658.5676879882812,36087.73046875
2022-05-02,626.699951171875,34590.796875
2022-05-09,614.2144775390625,33120.96484375
2022-05-16,635.5984497070312,34276.0
2022-05-23,669.8095092773438,35612.88671875
2022-05-30,664.1558837890625,35274.640625
2022-06-06,650.1057739257812,34483.3984375
2022-06-13,620.5861206054688,32742.669921875
2022-06-20,651.4049682617188,33627.05859375
2022-06-27,651.380859375,33539.05859375
2022-07-04,672.2394409179688,35123.640625
2022-07-11,655.3746337890625,34682.24609375
2022-07-18,670.0260620117188,36738.5234375
2022-07-25,690.0907592773438,37490.9609375
2022-08-01,686.6505126953125,37920.16015625
2022-08-08,714.6063842773438,39041.84765625
2022-08-15,718.407470703125,38985.49609375
2022-08-22,704.9588623046875,38986.6953125
2022-08-29,714.774658203125,39420.54296875
2022-09-05,721.0780029296875,40415.23046875
2022-09-12,718.26318359375,40776.328125
2022-09-19,695.8407592773438,39545.7890625
2022-09-26,683.9078369140625,38631.5
2022-10-03,688.4547729492188,39177.59375
2022-10-10,692.400390625,39305.14453125
2022-10-17,692.2079467773438,40783.578125
2022-10-24,701.87939453125,40990.375
2022-10-31,720.38037109375,41257.96875
2022-11-07,775.2334594726562,42136.5625
2022-11-14,776.5567016601562,42436.95703125
2022-11-21,778.3610229492188,42983.44921875
2022-11-28,773.2847290039062,43103.25
2022-12-05,784.8087158203125,43632.94140625
2022-12-12,788.9467163085938,43218.99609375
2022-12-19,768.7376708984375,41667.56640625
2022-12-26,783.4132080078125,42985.94921875
2023-01-02,767.1738891601562,42188.30859375
2023-01-09,770.1812133789062,42371.25
2023-01-16,799.195556640625,42506.80078125
2023-01-23,777.4708251953125,40345.30078125
2023-01-30,798.1610107421875,41499.69921875
2023-02-06,797.3430786132812,41559.3984375
2023-02-13,796.7657470703125,41131.75
2023-02-20,764.5514526367188,39909.3984375
2023-02-27,777.5189208984375,41251.3515625
2023-03-06,764.4072265625,40485.44921875
2023-03-13,756.70849609375,39598.1015625
2023-03-20,750.9344482421875,39395.3515625
2023-03-27,774.4635009765625,40608.6484375
2023-04-03,801.7938232421875,41041.0
2023-04-10,814.352294921875,42132.55078125
2023-04-17,805.7635498046875,42118.0
2023-04-24,812.0187377929688,43233.8984375
2023-05-01,782.2103271484375,42661.19921875
